timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1574913927814,489,www.amazon.com,200,OK,Thread Group 1-1,text,true,,90921,119,1,1,https://www.amazon.com/,254,0,162
1574913928305,616,www.kohls.com,200,OK,Thread Group 1-1,text,true,,337181,118,1,1,https://www.kohls.com/,301,0,124
1574913928922,369,www.walmart.com,200,OK,Thread Group 1-1,text,true,,156574,120,1,1,https://www.walmart.com/,276,0,139
1574913929293,641,www.walgreens.com,200,OK,Thread Group 1-1,text,true,,1418261,122,1,1,https://www.walgreens.com/,289,0,132
1574913929936,354,www.homedepot.com,200,OK,Thread Group 1-1,text,true,,209365,122,1,1,https://www.homedepot.com/,231,0,125
1574913930291,701,www.wholefoods.com,200,OK,Thread Group 1-1,text,true,,128715,252,1,1,https://www.wholefoodsmarket.com/,392,0,363
1574913930291,392,www.wholefoods.com-0,301,Found,Thread Group 1-1,,true,,307,123,1,1,https://www.wholefoods.com/,392,0,363
1574913930684,308,www.wholefoods.com-1,200,OK,Thread Group 1-1,text,true,,128408,129,1,1,https://www.wholefoodsmarket.com/,151,0,122
1574913930994,264,www.apple.com,200,OK,Thread Group 1-1,text,true,,85401,118,1,1,https://www.apple.com/,196,0,164
1574913931259,416,www.samsung.com,200,OK,Thread Group 1-1,text,true,,206681,243,1,1,https://www.samsung.com/us/,167,0,127
1574913931259,167,www.samsung.com-0,301,Moved Permanently,Thread Group 1-1,,true,,414,120,1,1,https://www.samsung.com/,167,0,127
1574913931426,249,www.samsung.com-1,200,OK,Thread Group 1-1,text,true,,206267,123,1,1,https://www.samsung.com/us/,63,0,0
1574913931677,658,www.vizio.com,200,OK,Thread Group 1-1,text,true,,112214,243,1,1,https://www.vizio.com/en/home,254,0,184
1574913931677,254,www.vizio.com-0,301,Moved Permanently,Thread Group 1-1,text,true,,464,118,1,1,https://www.vizio.com/,254,0,184
1574913931931,404,www.vizio.com-1,200,OK,Thread Group 1-1,text,true,,111750,125,1,1,https://www.vizio.com/en/home,360,0,0
1574913932336,803,store.google.com,200,OK,Thread Group 1-1,text,true,,2038054,121,1,1,https://store.google.com/,293,0,190
1574913933140,541,www.sprint.com,200,OK,Thread Group 1-1,text,true,,244568,119,1,1,https://www.sprint.com/,256,0,172
1574913933683,305,www.verizon.com,200,OK,Thread Group 1-1,text,true,,52807,279,1,1,https://www.verizon.com/home/verizonglobalhome/ghp_landing.aspx,243,0,156
1574913933683,243,www.verizon.com-0,302,Found,Thread Group 1-1,,true,,177,120,1,1,https://www.verizon.com/,243,0,156
1574913933926,62,www.verizon.com-1,200,OK,Thread Group 1-1,text,true,,52630,159,1,1,https://www.verizon.com/home/verizonglobalhome/ghp_landing.aspx,33,0,0
1574913933989,388,www.samsclub.com,200,OK,Thread Group 1-1,text,true,,346061,121,1,1,https://www.samsclub.com/,189,0,128
1574913934378,488,www.sears.com,200,OK,Thread Group 1-1,text,true,,116956,118,1,1,https://www.sears.com/,367,0,184
1574913934871,421,www.kmart.com,200,OK,Thread Group 1-1,text,true,,83742,118,1,1,https://www.kmart.com/,326,0,177
1574913935293,1185,www.staples.com,200,OK,Thread Group 1-1,text,true,,556568,120,1,1,https://www.staples.com/,772,0,333
1574913936479,350,www.dell.com,200,OK,Thread Group 1-1,text,true,,197105,239,1,1,https://www.dell.com/en-us,167,0,132
1574913936479,167,www.dell.com-0,302,Moved Temporarily,Thread Group 1-1,text,true,,1531,117,1,1,https://www.dell.com/,167,0,132
1574913936647,182,www.dell.com-1,200,OK,Thread Group 1-1,text,true,,195574,122,1,1,https://www.dell.com/en-us,45,0,0
1574913936831,871,www.target.com,200,OK,Thread Group 1-1,text,true,,300600,119,1,1,https://www.target.com/,322,0,272
1574913937703,416,www.bjs.com,200,OK,Thread Group 1-1,text,true,,715260,116,1,1,https://www.bjs.com/,157,0,128
1574913938121,384,www.lenovo.com,200,OK,Thread Group 1-1,text,true,,232470,244,1,1,https://www.lenovo.com/us/en/,166,0,128
1574913938121,166,www.lenovo.com-0,301,Moved Permanently,Thread Group 1-1,,true,,1104,119,1,1,https://www.lenovo.com/,166,0,128
1574913938287,218,www.lenovo.com-1,200,OK,Thread Group 1-1,text,true,,231366,125,1,1,https://www.lenovo.com/us/en/,83,0,0
1574913938506,367,www.harborfreight.com,200,OK,Thread Group 1-1,text,true,,442933,126,1,1,https://www.harborfreight.com/,176,0,139
1574913938875,357,www.dickssportinggoods.com,200,OK,Thread Group 1-1,text,true,,182066,131,1,1,https://www.dickssportinggoods.com/,206,0,130
1574952904869,1007,www.amazon.com,200,OK,Thread Group 1-1,text,true,,90481,119,1,1,https://www.amazon.com/,781,0,565
1574952905879,901,www.kohls.com,200,OK,Thread Group 1-1,text,true,,396347,118,1,1,https://www.kohls.com/,382,0,246
1574952906782,1558,www.walmart.com,200,OK,Thread Group 1-1,text,true,,195682,120,1,1,https://www.walmart.com/,1434,0,1130
1574952908342,678,www.walgreens.com,200,OK,Thread Group 1-1,text,true,,1418408,122,1,1,https://www.walgreens.com/,321,0,134
1574952909022,525,www.homedepot.com,200,OK,Thread Group 1-1,text,true,,214446,122,1,1,https://www.homedepot.com/,341,0,129
1574952909548,454,www.wholefoods.com,200,OK,Thread Group 1-1,text,true,,128819,252,1,1,https://www.wholefoodsmarket.com/,219,0,192
1574952909548,219,www.wholefoods.com-0,301,Found,Thread Group 1-1,,true,,307,123,1,1,https://www.wholefoods.com/,219,0,192
1574952909767,235,www.wholefoods.com-1,200,OK,Thread Group 1-1,text,true,,128512,129,1,1,https://www.wholefoodsmarket.com/,152,0,124
1574952910004,287,www.apple.com,200,OK,Thread Group 1-1,text,true,,85404,118,1,1,https://www.apple.com/,172,0,138
1574952910292,1683,www.samsung.com,200,OK,Thread Group 1-1,text,true,,220048,243,1,1,https://www.samsung.com/us/,1417,0,1380
1574952910292,1417,www.samsung.com-0,301,Moved Permanently,Thread Group 1-1,,true,,414,120,1,1,https://www.samsung.com/,1417,0,1380
1574952911711,264,www.samsung.com-1,200,OK,Thread Group 1-1,text,true,,219634,123,1,1,https://www.samsung.com/us/,48,0,0
1574952911977,452,www.vizio.com,200,OK,Thread Group 1-1,text,true,,112214,243,1,1,https://www.vizio.com/en/home,197,0,143
1574952911977,197,www.vizio.com-0,301,Moved Permanently,Thread Group 1-1,text,true,,464,118,1,1,https://www.vizio.com/,197,0,143
1574952912174,255,www.vizio.com-1,200,OK,Thread Group 1-1,text,true,,111750,125,1,1,https://www.vizio.com/en/home,216,0,0
1574952912431,656,store.google.com,200,OK,Thread Group 1-1,text,true,,2028097,121,1,1,https://store.google.com/,215,0,131
1574952913088,420,www.sprint.com,200,OK,Thread Group 1-1,text,true,,244574,119,1,1,https://www.sprint.com/,285,0,206
1574952913509,447,www.verizon.com,200,OK,Thread Group 1-1,text,true,,52785,279,1,1,https://www.verizon.com/home/verizonglobalhome/ghp_landing.aspx,376,0,119
1574952913509,376,www.verizon.com-0,302,Found,Thread Group 1-1,,true,,177,120,1,1,https://www.verizon.com/,376,0,119
1574952913885,71,www.verizon.com-1,200,OK,Thread Group 1-1,text,true,,52608,159,1,1,https://www.verizon.com/home/verizonglobalhome/ghp_landing.aspx,42,0,0
1574952913958,425,www.samsclub.com,200,OK,Thread Group 1-1,text,true,,312675,121,1,1,https://www.samsclub.com/,250,0,187
1574952914385,394,www.sears.com,200,OK,Thread Group 1-1,text,true,,116946,118,1,1,https://www.sears.com/,329,0,178
1574952914781,383,www.kmart.com,200,OK,Thread Group 1-1,text,true,,83493,118,1,1,https://www.kmart.com/,329,0,199
1574952915166,591,www.staples.com,200,OK,Thread Group 1-1,text,true,,560974,120,1,1,https://www.staples.com/,424,0,124
1574952915766,390,www.dell.com,200,OK,Thread Group 1-1,text,true,,197136,239,1,1,https://www.dell.com/en-us,217,0,174
1574952915766,217,www.dell.com-0,302,Moved Temporarily,Thread Group 1-1,text,true,,1531,117,1,1,https://www.dell.com/,217,0,174
1574952915983,173,www.dell.com-1,200,OK,Thread Group 1-1,text,true,,195605,122,1,1,https://www.dell.com/en-us,71,0,0
1574952916158,300,www.target.com,200,OK,Thread Group 1-1,text,true,,282202,119,1,1,https://www.target.com/,167,0,121
1574952916459,1425,www.bjs.com,200,OK,Thread Group 1-1,text,true,,6433858,116,1,1,https://www.bjs.com/,178,0,140
1574952917886,370,www.lenovo.com,200,OK,Thread Group 1-1,text,true,,230203,244,1,1,https://www.lenovo.com/us/en/,190,0,150
1574952917886,190,www.lenovo.com-0,301,Moved Permanently,Thread Group 1-1,,true,,1104,119,1,1,https://www.lenovo.com/,190,0,150
1574952918076,180,www.lenovo.com-1,200,OK,Thread Group 1-1,text,true,,229099,125,1,1,https://www.lenovo.com/us/en/,64,0,0
1574952918257,368,www.harborfreight.com,200,OK,Thread Group 1-1,text,true,,495204,126,1,1,https://www.harborfreight.com/,157,0,123
